,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Carbon County, PA",Carbon County ,42025,Medium metro,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan,PA,3,"  64,182 ",7.6%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  69 ,  108 ,  -   ,  -   ,+41%,-100%,0.0%,  49 ,  76 ,  1 ,  1.6 ,"  6,340 ","  9,878 ",  170 ,  265 ,  -   ,  35 ,HighBurdenResolving,,High,Substantial,5.7%,"  1,042 ","  1,624 ",  1.0 ,97%,+0.1%,-24%,  -   ,0%,5.6%,"  1,370 ","  2,135 ",  1.0 ,97%,  3 ,  4 ,  -   ,  -   ,65%,3%,62%,10%,4%,0%,0%,-100%,-6%,0%,-2%,+10%,0%,0%,  1 ,  68 ,  6 ,  4 ,100%,100%,100%,100%,"  32,988 ",51.4%,"  26,165 ",40.8%,  277 ,6.1%,  718 ,1.4%,  128 ,0.9%,,,,  834 ,18.4%,  222 ,4.9%,"  32,154 ",62.0%,"  25,943 ",50.0%,"  12,235 ",87.7%,"  10,485 ",75.2%,5%,13%,22%,  2.5 ,2%,5%,0%,1%,  0.30 ,  0.54 ,Uncertain
"Tuscaloosa County, AL",Tuscaloosa County ,1125,Small metro,"Tuscaloosa, AL",Metropolitan,AL,4,"  209,355 ",83.1%,4.3%,0.1%,  1 ,"  33,698 ",16.1%,0.0%,  69 ,  33 ,  2 ,  1.0 ,-53%,0%,0.1%,  146 ,  70 ,  2 ,  1.0 ,"  26,016 ","  12,427 ",  457 ,  218 ,  -   ,  4 ,ModerateBurden,,Moderate,Substantial,5.7%,"  1,650 ",  788 ,  1.0 ,97%,+0.5%,-4%,  -   ,-1%,5.2%,"  1,722 ",  823 ,  1.0 ,98%,  2 ,  -   ,  3 ,  1 ,73%,1%,94%,2%,28%,0%,-60%,-40%,+6%,-1%,+8%,+2%,0%,0%,  2 ,  523 ,  60 ,  95 ,100%,100%,100%,100%,"  64,718 ",30.9%,"  53,255 ",25.4%,  181 ,1.3%,  839 ,0.5%,  86 ,0.3%,,,,  998 ,7.0%,  427 ,3.0%,"  63,716 ",38.5%,"  52,828 ",31.9%,"  20,586 ",71.5%,"  18,095 ",62.9%,8%,17%,14%,  2.7 ,32%,4%,0%,2%,  0.63 ,  0.48 ,Uncertain
"Raleigh County, WV",Raleigh County ,54081,Small metro,"Beckley, WV",Metropolitan,WV,3,"  73,361 ",63.4%,4.1%,0.0%,  -   ,"  1,337 ",1.8%,0.0%,  69 ,  94 ,  -   ,  -   ,-27%,-100%,0.0%,  94 ,  128 ,  1 ,  1.4 ,"  6,940 ","  9,460 ",  87 ,  119 ,  -   ,  42 ,SustainedHotspot,,Substantial,High,7.0%,"  1,094 ","  1,491 ",  2.0 ,94%,-0.9%,-11%,  1.0 ,-3%,7.9%,"  1,229 ","  1,675 ",  1.0 ,97%,  16 ,  4 ,  196 ,  53 ,76%,6%,93%,16%,34%,9%,+1%,+4%,+1%,0%,+13%,+2%,+7%,+1%,  3 ,  371 ,  39 ,  31 ,100%,67%,100%,100%,"  15,415 ",21.0%,"  11,833 ",16.1%,  154 ,3.0%,  647 ,1.1%,  144 ,0.9%,,,,  405 ,7.8%,  78 ,1.5%,"  15,001 ",25.8%,"  11,749 ",20.2%,"  5,924 ",38.1%,"  5,050 ",32.5%,8%,18%,21%,  2.4 ,8%,2%,0%,1%,  0.77 ,  0.47 ,Uncertain
"Crow Wing County, MN",Crow Wing County ,27035,Micropolitan,"Brainerd, MN",Micropolitan,MN,5,"  65,055 ",68.6%,1.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  68 ,  105 ,  2 ,  3.1 ,-4%,+100%,0.0%,  71 ,  109 ,  1 ,  1.5 ,"  6,754 ","  10,382 ",  92 ,  141 ,  -   ,  33 ,HighBurdenResolving,,High,High,5.9%,"  1,208 ","  1,857 ",  1.0 ,98%,+0.4%,-18%,  -   ,0%,5.6%,"  1,469 ","  2,258 ",  1.0 ,98%,  13 ,  12 ,  -   ,  -   ,71%,8%,37%,2%,0%,0%,+30%,,+4%,+2%,0%,-8%,-2%,0%,  2 ,  111 ,  14 ,  41 ,100%,100%,100%,100%,"  29,636 ",45.6%,"  26,282 ",40.4%,  130 ,2.6%,  377 ,0.7%,  88 ,0.6%,,,,  690 ,14.0%,  331 ,6.7%,"  28,919 ",56.5%,"  25,950 ",50.7%,"  12,959 ",86.7%,"  12,022 ",80.4%,5%,11%,23%,  2.4 ,1%,2%,1%,0%,  0.12 ,  0.06 ,Uncertain
"Bastrop County, TX",Bastrop County ,48021,Large fringe metro,"Austin-Round Rock-Georgetown, TX",Metropolitan,TX,6,"  88,723 ",4.0%,0.3%,0.0%,  -   ,  -   ,0.0%,0.0%,  68 ,  77 ,  2 ,  2.3 ,+28%,,0.0%,  53 ,  60 ,  -   ,  -   ,"  9,584 ","  10,802 ",  95 ,  107 ,  -   ,  21 ,ModerateBurden,,Substantial,Substantial,3.7%,"  1,257 ","  1,417 ",  1.0 ,100%,0.0%,-12%,  1.0 ,0%,3.6%,"  1,430 ","  1,612 ",  -   ,100%,  -   ,  -   ,  -   ,  -   ,41%,0%,,,0%,0%,,,-16%,0%,,,0%,0%,  2 ,  16 ,  -   ,  2 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,16%,10%,16%,  3.2 ,7%,40%,0%,1%,  0.75 ,  0.78 ,Uncertain
"Sussex County, NJ",Sussex County ,34037,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NJ,2,"  140,488 ",0.7%,1.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  67 ,  48 ,  -   ,  -   ,-11%,-100%,0.0%,  75 ,  53 ,  4 ,  2.8 ,"  13,953 ","  9,932 ",  302 ,  215 ,  -   ,  45 ,ModerateBurdenResolving,,Moderate,Substantial,2.3%,"  3,225 ","  2,296 ",  -   ,100%,-0.8%,-11%,  -   ,0%,3.1%,"  3,612 ","  2,571 ",  -   ,100%,  4 ,  2 ,  9 ,  5 ,74%,3%,47%,5%,7%,2%,-50%,+80%,+2%,0%,-8%,-3%,-15%,-3%,  1 ,  185 ,  17 ,  23 ,100%,100%,100%,100%,"  79,185 ",56.4%,"  63,153 ",45.0%,  601 ,5.7%,"  1,639 ",1.4%,  199 ,0.8%,,,,"  2,125 ",20.0%,  576 ,5.4%,"  77,048 ",68.0%,"  62,577 ",55.3%,"  21,562 ",85.4%,"  18,532 ",73.4%,5%,5%,18%,  2.6 ,2%,9%,0%,2%,  0.02 ,  0.18 ,Likely Decreasing
"Linn County, IA",Linn County ,19113,Medium metro,"Cedar Rapids, IA",Metropolitan,IA,7,"  226,706 ",83.0%,7.2%,0.1%,  -   ,"  3,627 ",1.6%,0.0%,  67 ,  30 ,  2 ,  0.9 ,-45%,+100%,0.1%,  121 ,  53 ,  1 ,  0.4 ,"  21,031 ","  9,277 ",  337 ,  149 ,  -   ,  25 ,ModerateBurden,,Moderate,Substantial,3.6%,"  2,188 ",  965 ,  -   ,99%,-1.3%,-12%,  -   ,-1%,4.9%,"  2,497 ","  1,101 ",  -   ,100%,  11 ,  2 ,  -   ,  -   ,62%,2%,50%,3%,22%,1%,-39%,,0%,0%,-11%,-3%,-2%,-1%,  2 ,  620 ,  50 ,  108 ,100%,100%,100%,100%,"  120,570 ",53.2%,"  105,342 ",46.5%,"  1,256 ",7.0%,"  1,788 ",1.0%,  142 ,0.4%,,,,"  5,753 ",32.1%,"  1,821 ",10.2%,"  114,815 ",65.8%,"  103,521 ",59.3%,"  32,785 ",89.0%,"  30,953 ",84.0%,4%,10%,16%,  2.4 ,6%,3%,0%,3%,  0.18 ,  0.19 ,Likely Decreasing
"Cass County, ND",Cass County ,38017,Small metro,"Fargo, ND-MN",Metropolitan,ND,8,"  181,923 ",73.9%,23.9%,0.1%,  1 ,"  11,269 ",6.2%,0.0%,  67 ,  37 ,  1 ,  0.5 ,-38%,,0.1%,  108 ,  59 ,  -   ,  -   ,"  24,651 ","  13,550 ",  209 ,  115 ,  -   ,  41 ,ModerateBurden,,Moderate,Substantial,2.7%,"  1,580 ",  868 ,  -   ,100%,-0.6%,-10%,  (1.0),0%,3.4%,"  1,752 ",  963 ,  1.0 ,100%,  11 ,  1 ,  27 ,  3 ,77%,3%,55%,4%,22%,4%,-42%,-49%,+2%,-1%,+1%,-1%,-2%,-2%,  5 ,  825 ,  136 ,  189 ,80%,60%,100%,80%,"  86,494 ",47.5%,"  76,634 ",42.1%,  579 ,4.7%,  800 ,0.6%,  40 ,0.2%,,,,"  2,743 ",22.3%,"  1,148 ",9.3%,"  83,626 ",59.3%,"  75,485 ",53.6%,"  19,404 ",85.6%,"  17,685 ",78.0%,6%,11%,12%,  2.3 ,6%,3%,1%,3%,  0.14 ,  0.05 ,Uncertain
"Unallocated, NC",Unallocated ,37000,,,,NC,4,,,,,,,,0.0%,  67 ,,  -   ,,-2333%,,0.0%,  (3),,  -   ,,  67 ,,  -   ,,,,,,,,7.9%,  68 ,,,,+4.9%,+24%,,,3.0%,  55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  161,754 ",,"  144,012 ",,  410 ,,"  2,817 ",,  386 ,,,,,"  2,958 ",,"  1,087 ",,"  158,682 ",,"  142,910 ",,"  37,397 ",,"  40,741 ",,,,,,,,,,,,Uncertain
"Yolo County, CA",Yolo County ,6113,Large fringe metro,"Sacramento-Roseville-Folsom, CA",Metropolitan,CA,9,"  220,500 ",9.3%,0.6%,0.1%,  1 ,"  36,919 ",16.7%,0.0%,  67 ,  30 ,  2 ,  0.9 ,+37%,+100%,0.0%,  49 ,  22 ,  1 ,  0.5 ,"  14,018 ","  6,357 ",  213 ,  97 ,  -   ,  13 ,ModerateBurden,,Moderate,Moderate,0.4%,"  17,837 ","  8,089 ",,,+0.1%,-3%,,,0.3%,"  18,323 ","  8,310 ",,,  2 ,  2 ,  6 ,  5 ,78%,2%,71%,6%,3%,1%,-36%,+93%,-1%,0%,+10%,+4%,+1%,+1%,  2 ,  127 ,  14 ,  47 ,100%,100%,100%,100%,"  121,393 ",55.1%,"  94,316 ",42.8%,  650 ,4.1%,"  1,359 ",0.8%,  86 ,0.3%,,,,"  6,470 ",40.6%,"  2,342 ",14.7%,"  114,621 ",65.6%,"  91,967 ",52.6%,"  26,645 ",93.5%,"  21,677 ",76.0%,6%,20%,13%,  2.8 ,2%,32%,1%,15%,  0.68 ,  0.43 ,Uncertain
"Santa Fe County, NM",Santa Fe County ,35049,Small metro,"Santa Fe, NM",Metropolitan,NM,6,"  150,358 ",100.0%,7.2%,0.1%,  -   ,  667 ,0.4%,0.0%,  66 ,  44 ,  1 ,  0.7 ,-48%,0%,0.1%,  126 ,  84 ,  1 ,  0.7 ,"  10,445 ","  6,947 ",  147 ,  98 ,  1 ,  -   ,ModerateBurden,Recent,Moderate,Substantial,3.6%,"  2,017 ","  1,341 ",  1.0 ,95%,-0.4%,-2%,  -   ,-4%,4.0%,"  2,055 ","  1,367 ",  1.0 ,99%,  5 ,  2 ,  -   ,  -   ,68%,3%,58%,6%,15%,0%,-38%,,+6%,+2%,+30%,+5%,+7%,0%,  3 ,  206 ,  24 ,  57 ,100%,100%,100%,100%,"  74,777 ",49.7%,"  67,220 ",44.7%,  931 ,9.4%,"  1,362 ",1.1%,  147 ,0.4%,,,,"  3,552 ",35.7%,"  1,250 ",12.6%,"  71,222 ",57.5%,"  65,969 ",53.2%,"  21,866 ",57.4%,"  23,844 ",62.6%,12%,13%,25%,  2.4 ,1%,51%,3%,1%,  0.53 ,  0.27 ,Uncertain
"Scott County, IA",Scott County ,19163,Medium metro,"Davenport-Moline-Rock Island, IA-IL",Metropolitan,IA,7,"  172,943 ",45.6%,5.5%,0.1%,  -   ,"  4,751 ",2.8%,0.0%,  66 ,  38 ,  -   ,  -   ,-42%,-100%,0.1%,  114 ,  66 ,  2 ,  1.2 ,"  20,201 ","  11,681 ",  243 ,  141 ,  -   ,  34 ,ModerateBurdenResolving,,Moderate,Substantial,3.4%,"  2,752 ","  1,591 ",  1.0 ,100%,-1.3%,-6%,  -   ,+1%,4.6%,"  2,926 ","  1,692 ",  1.0 ,99%,  14 ,  3 ,  2 ,  -   ,69%,4%,70%,18%,18%,4%,-30%,+100%,+2%,0%,-3%,+1%,+1%,0%,  3 ,  493 ,  42 ,  110 ,100%,100%,100%,100%,"  84,123 ",48.6%,"  70,955 ",41.0%,  835 ,6.0%,"  1,392 ",1.1%,  147 ,0.5%,,,,"  3,577 ",25.5%,"  1,129 ",8.1%,"  80,536 ",60.9%,"  69,823 ",52.8%,"  25,319 ",87.7%,"  23,732 ",82.2%,5%,12%,17%,  2.5 ,8%,7%,0%,3%,  0.27 ,  0.27 ,Likely Decreasing
"Shiawassee County, MI",Shiawassee County ,26155,Micropolitan,"Lansing-East Lansing, MI",Metropolitan,MI,5,"  68,122 ",12.4%,0.7%,0.0%,  -   ,  -   ,0.0%,0.0%,  66 ,  97 ,  -   ,  -   ,-10%,-100%,0.0%,  73 ,  107 ,  2 ,  2.9 ,"  6,377 ","  9,361 ",  103 ,  151 ,  -   ,  34 ,SustainedHotspot,,Substantial,High,6.6%,"  1,012 ","  1,486 ",  1.0 ,100%,-4.4%,-11%,  -   ,0%,11.0%,"  1,135 ","  1,666 ",  1.0 ,100%,  9 ,  13 ,  1 ,  1 ,66%,18%,84%,47%,18%,16%,+35%,+5%,+14%,+6%,+6%,-10%,+3%,0%,  1 ,  70 ,  7 ,  17 ,100%,100%,100%,100%,"  27,739 ",40.7%,"  24,219 ",35.6%,  28 ,0.5%,  521 ,1.0%,  70 ,0.5%,,,,  643 ,12.2%,  351 ,6.7%,"  27,094 ",50.2%,"  23,868 ",44.2%,"  9,719 ",74.9%,"  9,004 ",69.4%,6%,11%,19%,  2.4 ,1%,3%,0%,0%,  0.13 ,  0.41 ,Uncertain
"McCracken County, KY",McCracken County ,21145,Micropolitan,"Paducah, KY-IL",Micropolitan,KY,4,"  65,418 ",68.0%,1.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  66 ,  101 ,  2 ,  3.1 ,-48%,0%,0.1%,  126 ,  193 ,  2 ,  3.1 ,"  6,808 ","  10,407 ",  127 ,  194 ,  2 ,  -   ,SustainedHotspot,Recent,High,High,2.5%,"  1,053 ","  1,610 ",  -   ,100%,-1.8%,+6%,  -   ,+2%,4.3%,  993 ,"  1,518 ",  -   ,98%,  21 ,  5 ,  -   ,  -   ,52%,3%,69%,10%,17%,2%,-5%,-100%,+2%,0%,+20%,-3%,+4%,0%,  3 ,  441 ,  57 ,  73 ,100%,100%,100%,100%,"  27,224 ",41.6%,"  22,996 ",35.2%,  105 ,2.1%,  520 ,1.0%,  95 ,0.7%,,,,  448 ,9.1%,  158 ,3.2%,"  26,776 ",52.6%,"  22,838 ",44.9%,"  10,483 ",78.8%,"  9,538 ",71.7%,6%,16%,20%,  2.3 ,11%,3%,0%,1%,  0.42 ,  0.29 ,Uncertain
"Randolph County, NC",Randolph County ,37151,Medium metro,"Greensboro-High Point, NC",Metropolitan,NC,4,"  143,667 ",18.6%,1.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  66 ,  46 ,  1 ,  0.7 ,-1%,-50%,0.0%,  67 ,  47 ,  2 ,  1.4 ,"  15,151 ","  10,546 ",  230 ,  160 ,  -   ,  36 ,ModerateBurden,,Moderate,Moderate,3.3%,"  1,502 ","  1,045 ",  1.0 ,95%,+0.8%,-5%,  -   ,-4%,2.5%,"  1,574 ","  1,096 ",  1.0 ,99%,  4 ,  7 ,  8 ,  14 ,74%,2%,82%,0%,10%,0%,+302%,-20%,-4%,+2%,+18%,0%,+9%,0%,  1 ,  59 ,  4 ,  11 ,100%,100%,100%,100%,"  40,872 ",28.4%,"  35,903 ",25.0%,  173 ,1.5%,  593 ,0.5%,  97 ,0.4%,,,,  761 ,6.6%,  415 ,3.6%,"  40,086 ",35.9%,"  35,479 ",31.8%,"  16,480 ",63.2%,"  15,258 ",58.5%,14%,16%,18%,  2.5 ,6%,12%,1%,1%,  0.70 ,  0.88 ,Uncertain
"Bedford County, PA",Bedford County ,42009,Non-core,,,PA,3,"  47,888 ",,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  66 ,  138 ,  -   ,  -   ,+12%,-100%,0.0%,  59 ,  123 ,  2 ,  4.2 ,"  4,595 ","  9,595 ",  138 ,  288 ,  -   ,  23 ,SustainedHotspot,,High,High,7.0%,  468 ,  977 ,  1.0 ,99%,-2.5%,+1%,  -   ,+5%,9.5%,  465 ,  971 ,  1.0 ,94%,  7 ,  30 ,  12 ,  51 ,83%,16%,,,11%,0%,+128%,+46%,+7%,+3%,,,+11%,0%,  1 ,  24 ,  -   ,  5 ,100%,100%,100%,100%,"  14,356 ",30.0%,"  12,317 ",25.7%,  11 ,0.3%,  214 ,0.6%,  53 ,0.5%,,,,  59 ,1.8%,  19 ,0.6%,"  14,297 ",36.9%,"  12,298 ",31.8%,"  6,923 ",61.7%,"  6,372 ",56.8%,7%,13%,23%,  2.5 ,1%,1%,0%,0%,  0.27 ,  0.59 ,Uncertain
"Stafford County, VA",Stafford County ,51179,Large fringe metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan,VA,3,"  152,882 ",2.4%,1.8%,0.1%,  -   ,  -   ,0.0%,0.0%,  66 ,  43 ,  -   ,  -   ,-20%,,0.0%,  83 ,  54 ,  -   ,  -   ,"  11,393 ","  7,452 ",  79 ,  52 ,  -   ,  28 ,ModerateBurden,,Moderate,Substantial,4.0%,"  1,280 ",  837 ,  1.0 ,98%,-1.4%,+5%,  -   ,-1%,5.4%,"  1,217 ",  796 ,  1.0 ,99%,  6 ,  6 ,  6 ,  6 ,59%,2%,45%,10%,0%,0%,+100%,+100%,-2%,-1%,-19%,+2%,-1%,-1%,  1 ,  100 ,  6 ,  13 ,100%,100%,100%,100%,"  45,215 ",29.6%,"  36,917 ",24.1%,  485 ,3.4%,  849 ,0.7%,  61 ,0.4%,,,,"  2,150 ",15.0%,  991 ,6.9%,"  43,016 ",38.0%,"  35,926 ",31.7%,"  9,001 ",54.8%,"  8,036 ",48.9%,7%,5%,11%,  3.0 ,19%,14%,0%,3%,  0.15 ,  0.11 ,Likely Decreasing
"Tehama County, CA",Tehama County ,6103,Micropolitan,"Red Bluff, CA",Micropolitan,CA,9,"  65,084 ",100.0%,0.2%,0.0%,  -   ,  -   ,0.0%,0.0%,  66 ,  101 ,  -   ,  -   ,+267%,-100%,0.0%,  18 ,  28 ,  1 ,  1.5 ,"  5,656 ","  8,690 ",  63 ,  97 ,  -   ,  35 ,EmergingHotspot,,High,Moderate,2.8%,  777 ,"  1,194 ",,,-2.5%,+9%,,,5.3%,  710 ,"  1,091 ",,,  2 ,  4 ,  -   ,  -   ,65%,4%,43%,4%,5%,0%,-35%,,+9%,-2%,-16%,-9%,+1%,-2%,  1 ,  51 ,  8 ,  21 ,100%,100%,100%,100%,"  18,970 ",29.1%,"  15,404 ",23.7%,  134 ,2.5%,  405 ,0.8%,  77 ,0.6%,,,,  374 ,6.9%,  146 ,2.7%,"  18,586 ",37.5%,"  15,258 ",30.7%,"  7,486 ",58.6%,"  6,378 ",49.9%,7%,22%,20%,  2.6 ,1%,26%,2%,1%,  0.96 ,  0.80 ,Uncertain
"Gregg County, TX",Gregg County ,48183,Small metro,"Longview, TX",Metropolitan,TX,6,"  123,945 ",43.2%,0.4%,0.0%,  -   ,"  1,376 ",1.1%,0.0%,  66 ,  53 ,  -   ,  -   ,+10%,-100%,0.0%,  60 ,  48 ,  3 ,  2.4 ,"  11,302 ","  9,119 ",  356 ,  287 ,  -   ,  -   ,ModerateBurden,,Substantial,Moderate,6.7%,  624 ,  503 ,  1.0 ,99%,-0.3%,+18%,  -   ,+2%,7.0%,  527 ,  425 ,  1.0 ,97%,  15 ,  5 ,  -   ,  -   ,63%,3%,79%,10%,21%,1%,+406%,,+1%,+1%,-3%,+2%,0%,+1%,  3 ,  300 ,  46 ,  108 ,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,19%,18%,16%,  2.6 ,20%,19%,0%,1%,  0.88 ,  0.62 ,Likely Decreasing
"Victoria County, TX",Victoria County ,48469,Small metro,"Victoria, TX",Metropolitan,TX,6,"  92,084 ",92.3%,0.3%,0.0%,  -   ,"  2,088 ",2.3%,0.0%,  65 ,  71 ,  4 ,  4.3 ,-51%,+300%,0.1%,  134 ,  146 ,  1 ,  1.1 ,"  9,016 ","  9,791 ",  214 ,  232 ,  -   ,  5 ,SustainedHotspot,,High,High,14.1%,  644 ,  699 ,  -   ,100%,-0.9%,+5%,  -   ,0%,15.0%,  613 ,  666 ,  -   ,100%,  15 ,  3 ,  2 ,  -   ,43%,6%,77%,30%,26%,4%,-48%,,-1%,0%,-3%,-1%,+4%,+1%,  4 ,  600 ,  53 ,  107 ,100%,75%,100%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,16%,15%,17%,  2.8 ,6%,48%,0%,1%,  0.78 ,  0.53 ,Uncertain
"Venango County, PA",Venango County ,42121,Micropolitan,"Oil City, PA",Micropolitan,PA,3,"  50,668 ",100.0%,0.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  65 ,  128 ,  2 ,  3.9 ,-21%,+100%,0.0%,  82 ,  162 ,  1 ,  2.0 ,"  4,038 ","  7,970 ",  96 ,  189 ,  -   ,  3 ,SustainedHotspot,,High,High,3.8%,  843 ,"  1,664 ",  1.0 ,99%,-3.0%,-42%,  -   ,0%,6.8%,"  1,462 ","  2,885 ",  1.0 ,99%,  3 ,  2 ,  -   ,  -   ,64%,3%,58%,19%,8%,0%,-50%,,+15%,-5%,+23%,-2%,-1%,0%,  1 ,  130 ,  12 ,  15 ,100%,100%,100%,100%,"  15,985 ",31.5%,"  14,717 ",29.0%,  86 ,2.5%,  310 ,0.8%,  39 ,0.3%,,,,  286 ,8.2%,  84 ,2.4%,"  15,698 ",38.3%,"  14,633 ",35.7%,"  6,424 ",54.9%,"  6,787 ",58.0%,7%,14%,23%,  2.3 ,1%,1%,0%,0%,  0.42 ,  0.48 ,Likely Decreasing
"Kosciusko County, IN",Kosciusko County ,18085,Micropolitan,"Warsaw, IN",Micropolitan,IN,5,"  79,456 ",100.0%,1.2%,0.0%,  -   ,"  1,490 ",1.9%,0.0%,  65 ,  82 ,  -   ,  -   ,+18%,,0.0%,  55 ,  69 ,  -   ,  -   ,"  9,546 ","  12,014 ",  117 ,  147 ,  -   ,  22 ,ModerateBurden,,Substantial,Substantial,6.8%,  376 ,  473 ,  1.0 ,89%,-0.8%,+30%,  -   ,-3%,7.7%,  290 ,  365 ,  1.0 ,92%,  6 ,  8 ,  -   ,  -   ,56%,7%,59%,10%,8%,0%,,,-7%,-2%,-38%,-22%,+2%,0%,  1 ,  72 ,  9 ,  15 ,100%,100%,100%,100%,"  24,735 ",31.1%,"  21,548 ",27.1%,  62 ,1.0%,  436 ,0.7%,  45 ,0.3%,,,,  448 ,7.0%,  186 ,2.9%,"  24,287 ",40.0%,"  21,362 ",35.2%,"  9,435 ",68.8%,"  8,837 ",64.4%,11%,10%,17%,  2.5 ,1%,8%,0%,2%,  0.46 ,  0.40 ,Uncertain
"Chemung County, NY",Chemung County ,36015,Small metro,"Elmira, NY",Metropolitan,NY,2,"  83,456 ",100.0%,0.4%,0.0%,  -   ,  747 ,0.9%,0.0%,  65 ,  78 ,  -   ,  -   ,-29%,,0.0%,  92 ,  110 ,  -   ,  -   ,"  7,652 ","  9,169 ",  135 ,  162 ,  -   ,  30 ,ModerateBurdenResolving,,Substantial,High,3.6%,"  2,195 ","  2,630 ",  1.0 ,97%,+0.1%,-13%,  -   ,-1%,3.6%,"  2,513 ","  3,011 ",  1.0 ,98%,  9 ,  5 ,  -   ,  -   ,60%,2%,48%,1%,6%,0%,+125%,,+4%,0%,-1%,-1%,-6%,0%,  1 ,  174 ,  20 ,  24 ,100%,100%,100%,100%,"  37,242 ",44.6%,"  32,869 ",39.4%,  277 ,4.5%,  796 ,1.2%,  97 ,0.6%,,,,"  1,154 ",18.8%,  441 ,7.2%,"  36,084 ",54.9%,"  32,426 ",49.3%,"  12,584 ",77.3%,"  11,593 ",71.2%,5%,15%,20%,  2.4 ,6%,3%,0%,1%,  0.49 ,  0.46 ,Uncertain
"Doña Ana County, NM",Doña Ana County ,35013,Small metro,"Las Cruces, NM",Metropolitan,NM,6,"  218,195 ",100.0%,10.4%,0.1%,  1 ,"  11,133 ",5.1%,0.0%,  65 ,  30 ,  26 ,  11.9 ,+71%,+767%,0.0%,  38 ,  17 ,  3 ,  1.4 ,"  24,847 ","  11,388 ",  484 ,  222 ,  -   ,  125 ,ModerateBurden,,Moderate,Moderate,2.6%,"  2,669 ","  1,223 ",  2.0 ,99%,+1.5%,+4%,  -   ,+3%,1.1%,"  2,575 ","  1,180 ",  2.0 ,96%,  4 ,  1 ,  1 ,  -   ,61%,2%,72%,8%,23%,2%,-20%,,+5%,0%,-6%,-4%,-7%,0%,  4 ,  431 ,  53 ,  127 ,100%,100%,100%,100%,"  85,140 ",39.0%,"  76,391 ",35.0%,  754 ,4.1%,"  1,589 ",1.0%,  169 ,0.5%,,,,"  4,424 ",24.1%,"  1,495 ",8.2%,"  80,711 ",48.8%,"  74,896 ",45.3%,"  21,725 ",61.3%,"  22,906 ",64.7%,11%,28%,16%,  2.7 ,2%,69%,1%,1%,  0.98 ,  0.55 ,Uncertain
"Burleigh County, ND",Burleigh County ,38015,Small metro,"Bismarck, ND",Metropolitan,ND,8,"  95,626 ",74.2%,12.6%,0.0%,  -   ,"  4,982 ",5.2%,0.0%,  65 ,  68 ,  -   ,  -   ,-26%,-100%,0.0%,  88 ,  92 ,  1 ,  1.0 ,"  15,879 ","  16,605 ",  192 ,  201 ,  -   ,  14 ,ModerateBurdenResolving,,Substantial,Substantial,1.9%,"  1,706 ","  1,784 ",  -   ,100%,-1.5%,+5%,  -   ,0%,3.4%,"  1,627 ","  1,701 ",  -   ,100%,  23 ,  6 ,  33 ,  8 ,79%,5%,90%,6%,16%,2%,+31%,+3%,+3%,+1%,+12%,-4%,+1%,+2%,  2 ,  403 ,  22 ,  92 ,100%,100%,100%,100%,"  37,585 ",39.3%,"  32,255 ",33.7%,  132 ,1.8%,  394 ,0.5%,  40 ,0.3%,,,,  708 ,9.9%,  338 ,4.7%,"  36,846 ",50.2%,"  31,915 ",43.5%,"  12,528 ",79.0%,"  10,961 ",69.1%,6%,8%,17%,  2.3 ,2%,3%,4%,1%,  0.17 ,  0.03 ,Likely Decreasing
